Timestamp,What is your program?,What is your gender?,What is your AGE as of your last birthday?,What is your HEIGHT (to the nearest centimetre)?,What is your WEIGHT (to the nearest kilogram)?,What was your AVERAGE MONTHLY SALARY (to the nearest $100) at your last full time employment prior to enrolling at BCIT?,What MONTHLY SALARY (to the nearest $100) would you EXPECT if you were to seek employment immediately after obtaining your diploma?,"After graduation, for which one of the following TYPES OF ORGANIZATION would you most prefer to work?",Do you LIVE WITH YOUR PARENTS? ,What are your MONTHLY EXPENSES for FOOD and LODGING?,What MODE of TRANSPORT do you use most often to get to and from BCIT?,What is your COST per MONTH for TRANSPORTATION to and from BCIT?,What is your COST per MONTH for ENTERTAINMENT?,"Are you right-handed, Left-handed or ambidextrous?",What is your COST per MONTH for your CELL PHONE?,Do you SMOKE cigarettes? ,What is your foot size in INCHES?,How many alcoholic drinks do you have per week?,Do you have a tattoo?,"On average, how many hours per night do you sleep?",How much time in hours do you spend each week on social netorking sites?,How many hours per week do you spend studying/doing homework?,How many hours a week are you working (part-time or full-time employment) outside of BCIT?,Have you traveled outside of North America?,Do you pay entirely for your own tuition?,How many cups of coffee do you drink on average each day?,BMI
2019/02/04 2:38:05 pm GMT-8,HRMG,Female,30,165.0,99.0,2950.0,5000.0,2. Small Company,No,1200.0,3. Drive,60.0,100.0,0. Right-handed,60.0,No,10.2 inches,2,Yes,6,15 hours,40 hours,12,Yes,Yes,2.0,36.36363636363637
2019/02/04 2:40:15 pm GMT-8,HRMG,Female,25,170.0,,2600.0,4000.0,2. Small Company,No,1000.0,3. Drive,200.0,400.0,0. Right-handed,120.0,Yes,9,24,Yes,7.5,14 hour ,24,8-16,Yes,No,1.0,
2019/02/04 2:41:51 pm GMT-8,HRMG,Male,32,176.0,,0.0,3000.0,1. Large Corporation,Yes,800.0,2. Public Transport,0.0,10.0,0. Right-handed,60.0,No,11,1,No,5,3,5,14,Yes,No,2.0,
2019/02/04 2:41:57 pm GMT-8,HRMG,Female,24,,70.0,2800.0,4000.0,1. Large Corporation,No,1800.0,2. Public Transport,40.0,100.0,0. Right-handed,70.0,No,6.5,0,No,6.5,12,25,3,Yes,No,1.0,
2019/02/04 2:44:01 pm GMT-8,HRMG,Female,22,170.18,,0.0,,1. Large Corporation,Yes,600.0,3. Drive,200.0,10.0,0. Right-handed,30.0,No,9.875 in / 25 cm,1,Yes,6,10,8,0,No,No,5.0,
2019/02/04 2:44:50 pm GMT-8,HRMG,Female,22,174.0,51.0,800.0,4000.0,1. Large Corporation,Yes,300.0,2. Public Transport,0.0,200.0,0. Right-handed,,Yes,10,3,No,8,14,20,12,Yes,No,1.0,16.84502576298058
2019/02/04 2:45:51 pm GMT-8,HRMG,Female,23,163.0,49.0,1700.0,3000.0,3. Non-profit or Government Agency,Yes,200.0,3. Drive,120.0,100.0,0. Right-handed,65.0,No,9,0,Yes,6,2,10,4,Yes,No,1.0,18.442545824080696
2019/02/04 2:47:12 pm GMT-8,HRMG,Female,24,160.0,66.0,1600.0,3750.0,2. Small Company,Yes,400.0,3. Drive,,100.0,0. Right-handed,100.0,No,9.5,0,Yes,6.5,3,12,0,Yes,No,2.0,25.781249999999996
2019/02/04 2:47:32 pm GMT-8,HRMG,Female,23,157.0,66.0,2000.0,3750.0,1. Large Corporation,Yes,400.0,4. Carpool,0.0,50.0,0. Right-handed,55.0,No,9.5,0,Yes,6.5,31.5,30,0,Yes,Yes,1.0,26.775934114974238
2019/02/04 2:49:25 pm GMT-8,HRMG,Male,29,170.0,81.0,2400.0,4000.0,2. Small Company,No,1000.0,2. Public Transport,40.0,100.0,0. Right-handed,95.0,No,10.56,4,No,7,1.5,40,10,Yes,Yes,1.0,28.027681660899656
2019/02/04 2:49:29 pm GMT-8,HRMG,Female,35,157.0,64.0,3900.0,4500.0,3. Non-profit or Government Agency,No,300.0,3. Drive,60.0,80.0,0. Right-handed,50.0,Yes,9,3,No,7,1,36,7,Yes,No,0.0,25.96454217209623
2019/02/04 2:58:02 pm GMT-8,HRMG,Male,26,170.0,,1200.0,,2. Small Company,No,900.0,1. Walk,0.0,50.0,0. Right-handed,68.0,No,7 inches,2,No,6,20 hours,24 hours,0,Yes,Yes,1.0,
2019/02/05 6:58:22 pm GMT-8,BMGT,Female,21,,58.0,0.0,4000.0,1. Large Corporation,Yes,2000.0,3. Drive,,,1. Left-handed,65.0,No,5?,none,No,8,40,8,8 hours,Yes,No,1.0,
2019/02/05 7:11:28 pm GMT-8,BMGT,Female,24,161.0,52.1,0.0,4000.0,1. Large Corporation,No,1000.0,3. Drive,300.0,,0. Right-handed,60.0,No,9.06,0,No,8,14,7,20,Yes,Yes,0.0,20.099533197021717
2019/02/05 7:22:05 pm GMT-8,BMGT,Prefer not to say,22,165.0,109.0,0.0,2500.0,1. Large Corporation,No,1000.0,2. Public Transport,0.0,30.0,0. Right-handed,50.0,Yes,9.25,0,Yes,9,20,30,0,Yes,No,3.0,40.03673094582186
2019/02/06 3:29:26 pm GMT-8,BMGT,Female,23,168.0,70.0,0.0,,2. Small Company,No,1000.0,2. Public Transport,50.0,300.0,0. Right-handed,80.0,No,7,0,No,8,20,8,0,Yes,No,0.0,24.801587301587304
2019/02/06 8:15:54 pm GMT-8,BMGT,Male,21,181.0,70.0,2100.0,6666.0,1. Large Corporation,No,2100.0,2. Public Transport,30.0,30.0,0. Right-handed,50.0,No,,1,No,8,2,40,20,Yes,No,1.0,21.36686914318855
2019/02/06 10:23:29 pm GMT-8,BMGT,Male,23,180.0,88.0,0.0,3000.0,2. Small Company,No,1500.0,2. Public Transport,0.0,200.0,1. Left-handed,70.0,No,10,0,Yes,7,40,25,0,No,Yes,0.0,27.160493827160494
2019/02/08 4:51:12 am GMT-8,BMGT,Female,35,160.0,50.0,3000.0,3000.0,3. Non-profit or Government Agency,No,1500.0,2. Public Transport,130.0,200.0,0. Right-handed,60.0,No,,,No,7,1,10,20,Yes,No,2.0,19.531249999999996
2019/02/08 8:17:24 am GMT-8,BMGT,Male,21,183.0,85.0,4400.0,6500.0,2. Small Company,Yes,500.0,3. Drive,,,0. Right-handed,120.0,No,12,10,Yes,7,1 hour,30,30,Yes,Yes,2.0,25.381468541909282
